TRIP
DATE 2006-08-12 
DECLINATION     0.00
DATA
-11.330	-2.620
-11.220	-2.720
-11.130	-2.790
-11.100	-2.840
-11.040	-2.880
-10.950	-2.970
-10.910	-3.000
-10.860	-3.070
-10.720	-3.180
-10.660	-3.250
-10.630	-3.260
-10.550	-3.350
-10.480	-3.440
-10.290	-3.630
-10.090	-3.780
POLYLINE GREEN
-11.700	-2.620
-11.630	-2.690
-11.460	-2.860
-11.440	-2.860
-11.240	-3.090
-11.080	-3.220
-11.010	-3.260
-10.820	-3.440
-10.720	-3.540
-10.550	-3.670
-10.410	-3.780
POLYLINE GREEN
-12.730	-2.000
-12.700	-1.960
-12.620	-1.980
-12.560	-2.020
-12.530	-2.020
-12.430	-2.080
-12.330	-2.120
-12.170	-2.220
-12.110	-2.270
-12.040	-2.310
-11.820	-2.500
-11.640	-2.630
-11.500	-2.760
POLYLINE GREEN
-12.660	-1.290
-12.660	-1.290
-12.580	-1.390
-12.360	-1.610
-12.350	-1.630
-12.330	-1.630
-12.120	-1.780
-11.970	-1.890
-11.940	-1.930
-11.820	-2.030
-11.520	-2.360
-11.340	-2.620
POLYLINE GREEN
-12.680	-1.310
-12.680	-1.290
-12.640	-1.260
-12.610	-1.260
-12.540	-1.200
-12.450	-1.160
-12.430	-1.170
-12.410	-1.150
-12.370	-1.150
-12.170	-1.080
-12.080	-1.060
-11.960	-1.020
-11.940	-1.020
-11.880	-0.980
-11.840	-0.980
-11.800	-0.970
-11.780	-0.970
-11.760	-0.950
-11.740	-0.960
-11.720	-0.940
